job_id,order,arm,direction,scope,records,network_forwards,adam_calls,loss_backward_calls,status
o0a0,0,C,A,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o0a1,0,RP,A,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o0a2,0,MT,A,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o0a3,0,MT_RP,A,primary,1951,17559,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o0a4,0,FT,A,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o0a5,0,FT_RP,A,primary,1951,17559,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o0a6,0,KDG,B,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o0a7,0,K_ALL,B,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o0a8,0,K_MAG,B,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o0a9,0,K_FREE,B,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o0a10,0,G_BOUND,C,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o0a11,0,G_CONST,C,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o0a12,0,G_SHUFFLE,C,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o0a13,0,G_GLOBAL,C,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o1a0,1,C,A,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o1a1,1,RP,A,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o1a2,1,MT,A,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o1a3,1,MT_RP,A,primary,1951,17559,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o1a4,1,FT,A,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o1a5,1,FT_RP,A,primary,1951,17559,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
o1a6,1,KDG,B,primary,1951,15608,1951,1951,PROPOSAL_ONLY_NOT_SERVER_REGISTERED_DRY_RUN
